[1210/141521.379:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1210/160805.236:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160810.292:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160815.316:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160820.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160825.372:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160830.399:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160835.416:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160840.451:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160845.482:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160850.500:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160855.518:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160900.538:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160905.550:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160910.565:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160915.587:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160920.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160925.621:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160930.633:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160935.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160940.669:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160945.687:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160950.709:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/160955.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161000.734:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161005.755:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161010.776:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161015.801:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161020.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161025.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161030.878:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161035.909:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/161040.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
